number;title;season;status;year;location;abilities
1;Phantom Blood;1;Completed;2012;England;The Ripple
2;Battle Tendency;1;Completed;2012;North Americe & Europe;The Ripple
3;Stardust Crusaders;2;Completed;2014;Southeast Asia, Middle East, & Egypt;Stands
4;Diamond is Unbreakable;3;Completed;2016;Morioh, Japan;Stands
5;Vento Aureo;4;Completed;2018;Italy;Stands
6;Stone Ocean;5;Airing;2021;Port St. Lucie, Florida;Stands
7;Steel Ball Run;None;Not Aired;None;the United States;The Spin
8;JoJolion;None;Not Aired;None;Morioh, Japan;Stands
0;Purple Haze Feedback;None;Not Aired;None;Italy;Stands
