users_name;voice_actor;role;part;first_appearance
Weather Report;NoneYuichiro Umehara;Main Ally;6;162
D an G;None;Minor Antagonist;6;None
Magent Magent;None;Minor Antagonist;6;None
Gyro Zeppeli;None;Main Ally;7;None
Oyecomova;None;Minor Antagonist;7;None
Blackmore;None;Minor Antagonist;7;None
D-I-S-C-O;None;Minor Antagonist;7;None
Axl RO;None;Minor Antagonist;7;None
Hot Pants;None;Supporting;7;None
Funny Valentine;None;Main Antagonist;7;None
Pocoloco;None;Supporting;7;None
Sandman;None;Supporting;7;None
Ringo Roadagain;None;Minor Antagonist;7;None
Mountain Tim;None;Supporting;7;None
Dr. Ferdinand;None;Minor Antagonist;7;None
Sugar Mountain;None;Minor Character;7;None
Eleven Men;None;Minor Antagonist;7;None
Lucy Steel;None;Supporting;7;None
Boom Boom Family;None;Minor Antagonist;7;None
Mike O.;None;Minor Antagonist;7;None
Johnny Joestar;None;Main Protagonist;7;None
Pork Pie Hat Kid;None;Minor Antagonist;7;None
Kei Nijimura;None;Supporting;8;None
Higashikata Daiya;None;Supporting;8;None
Ojiro Sasame;None;Minor Antagonist;8;None
Higashikata Joshu;None;Supporting;8;None
Hirose Yasuho;None;Supporting;8;None
Higashikata Tsurugi;None;Main Ally;8;None
Kujo Josefumi;None;None;8;None
Massimo Volpe;None;Main Antagonist;0;None
Sheila E;None;None;0;None
Cannolo Murolo;None;None;0;None
Vittorio Cataldi;None;None;0;None
Angelica Attanasio;None;None;0;None
Vladimir Kocaqi;None;None;0;None
Dixie Flatline;None;None;None;None
Dija Maker;None;Main Antagonist;0;None
